georgemarian George Marian 6 8 6 8 7 7 5 12B
alinadaniel Alina Daniel 7 5 6 8 7 8 5 10C
ionelcristian Ionel Cristian 9 8 5 7 7 9 6 11A
dumitrucristian Dumitru Cristian 8 6 6 9 5 8 9 12C
cristiandumitru Cristian Dumitru 7 9 7 5 8 5 6 10B
mihailmarian Mihail Marian 6 8 6 7 7 8 5 12C
dumitrucatalin Dumitru Catalin 7 5 6 8 7 8 5 10A
georgevasile George Vasile 9 8 5 7 7 9 6 12A
cristiancristian Cristian Cristian 8 6 6 9 5 8 9 11B
marianandrei Marian Andrei 7 9 7 5 8 5 6 10C
andreeavasile Andreea Vasile 6 8 6 8 7 7 5 12B
alexandruvasile Alexandru Vasile 7 5 6 8 7 8 5 11A
dumitrudaniel Dumitru Daniel 8 6 6 9 5 8 9 12A
dumitrumarian Dumitru Marian 9 8 5 7 7 9 6 10B
andreiandreea Andrei Andreea 7 5 6 8 7 8 5 12C
marianandreea Marian Andreea 6 8 6 7 7 8 5 11B
vasiledaniel Vasile Daniel 7 9 7 5 8 5 6 10A
alinmarian Alin Marian 8 6 6 9 5 8 9 11C
georgemarian George Marian 9 8 5 7 7 9 6 12B
andreeageorge Andreea George 7 5 6 8 7 8 5 12A
dumitruandrei Dumitru Andrei 8 6 6 9 5 8 9 11C
marianvasile Marian Vasile 9 5 6 7 7 9 5 12B
georgedumitru George Dumitru 8 6 6 9 5 8 9 10A
marianandreea Marian Andreea 6 8 6 7 7 8 5 10B
alinandrei Alin Andrei 7 5 6 8 7 8 5 11A
cristianmarian Cristian Marian 8 6 6 9 5 8 9 12C
ionandrei Ion Andrei 9 8 5 7 7 9 6 10C
mariancristian Marian Cristian 7 9 7 5 8 5 6 11B
georgeandrei George Andrei 6 8 6 8 7 7 5 12A
alinmarian Alin Marian 7 5 6 8 7 8 5 10C
mihailandrei Mihail Andrei 8 6 6 9 5 8 9 11A
dumitrumarian Dumitru Marian 6 8 6 7 7 8 5 10B
georgeandreea George Andreea 7 9 7 5 8 5 6 11C
alinadaniel Alina Daniel 8 6 6 9 5 8 9 10A
marianandreea Marian Andreea 9 8 5 7 7 9 6 12B
alexandrumarian Alexandru Marian 8 6 6 9 5 8 9 11B
cristiangeorge Cristian George 7 5 6 8 7 8 5 12C
vasileandrei Vasile Andrei 9 8 5 7 7 9 6 10A
alinadumitru Alina Dumitru 6 8 6 7 7 8 5 10B
andreeadaniel Andreea Daniel 7 9 7 5 8 5 6 11C
andreeageorge Andreea George 8 6 6 9 5 8 9 12A
georgemarian George Marian 9 8 5 7 7 9 6 10C
cristianalin Cristian Alin 7 5 6 8 7 8 5 11A
dumitrudaniel Dumitru Daniel 8 6 6 9 5 8 9 10B
mihailgeorge Mihail George 7 9 7 5 8 5 6 12C
alexandruandrei Alexandru Andrei 6 8 6 7 7 8 5 10A
andreeageorge Andreea George 9 8 5 7 7 9 6 11B
marianandrei Marian Andrei 7 5 6 8 7 8 5 12A
alinandreea Alin Andreea 8 6 6 9 5 8 9 10C
georgecristian George Cristian 7 5 6 8 7 8 5 12C
andreeadumitru Andreea Dumitru 8 6 6 9 5 8 9 11A
mihaiandrei Mihai Andrei 9 8 5 7 7 9 6 10B
alinmarian Alin Marian 6 8 6 7 7 8 5 12B
georgemarian George Marian 7 5 6 8 7 8 5 10A
andreeageorge Andreea George 8 6 6 9 5 8 9 11B
dumitruvasile Dumitru Vasile 9 8 5 7 7 9 6 12C
georgemihai George Mihai 7 5 6 8 7 8 5 10A
ionelmarian Ionel Marian 8 6 6 9 5 8 9 10C
alinmarian Alin Marian 7 9 7 5 8 5 6 11A
mariandragos Marian Dragos 6 8 6 7 7 8 5 12B
ionutmarian Ionut Marian 7 5 6 8 7 8 5 10C
cristiandragos Cristian Dragos 8 6 6 9 5 8 9 11A
mihaitudor Mihai Tudor 9 8 5 7 7 9 6 12A
marianalin Marian Alin 7 5 6 8 7 8 5 10B
georgecristian George Cristian 6 8 6 7 7 8 5 11C
alexandrumihai Alexandru Mihai 7 9 7 5 8 5 6 10A
mihaiandrei Mihai Andrei 8 6 6 9 5 8 9 11B
ionutmarian Ionut Marian 9 8 5 7 7 9 6 10C
georgemarian George Marian 7 5 6 8 7 8 5 12A
alinandrei Alin Andrei 8 6 6 9 5 8 9 10B
vasilecristian Vasile Cristian 7 9 7 5 8 5 6 11C
mariangeorge Marian George 6 8 6 7 7 8 5 10A
andreeadragos Andreea Dragos 8 6 6 9 5 8 9 11B
marianalin Marian Alin 9 8 5 7 7 9 6 12C
alinadumitru Alina Dumitru 7 5 6 8 7 8 5 10B
alexandrumarian Alexandru Marian 8 6 6 9 5 8 9 11A
alinandreea Alin Andreea 6 8 6 7 7 8 5 10C
dumitrudaniel Dumitru Daniel 7 5 6 8 7 8 5 12A
